barcode,brand,name,unit,quantity
3850257019570,Belje,Vino Merlot Vrhunsko,L,0.75
3850257019587,Belje,Vino Cabernet Sauvignon Vrhunsko,L,0.75
3850257020484,Belje,Vino Cabernet Sauvignon Kvalitetno,L,0.75
5449000323217,Cappy,Nektar naranča,L,1.00
5449000323231,Cappy,Sok Cappy Breskva,L,1.0
5449000200945,Cappy,Sok Naranča 100%,L,1.0
5449000018564,Cappy,Sok Cappy Jabuka,L,1.00
5449000275639,Cappy,Cappy Lemonade Happy Lemon,L,0.4
5000112653779,Cappy,Cappy Happy Limunada,L,1.25
5449000056245,Cappy,Cappy Zero Lemonade Pink,L,0.4
5449000059185,Cappy,Cappy Zero Lemonade Pink Limun Jagoda,L,1.25
5449000147042,Cappy,Sok Cappy Pulpy Naranča,L,0.33
5449000247964,Coca-Cola,Coca-Cola Zero Limun,L,0.5
5449000247988,Coca-Cola,Coca-Cola Zero Limun,L,1.00
5000112652871,Coca-Cola,Coca Cola Zero 5+1 Gratis,L,1.98
5449000034229,Coca-Cola,Coca-Cola 12x0.15 L,L,1.8
5000112652857,Coca-Cola,"Coca Cola 6x0,33L",L,1.98
5449000000996,Coca-Cola,Coca-Cola Limenka,L,0.33
5449000214799,Coca-Cola,Coca Cola Zero,L,0.33
5449000131836,Coca-Cola,Coca-Cola Zero,L,0.5
5449000054227,Coca-Cola,Coca Cola,L,1.00
5449000133328,Coca-Cola,Coca-Cola Zero,L,1.00
5449000133335,Coca-Cola,Coca-Cola Zero,L,1.5
5449000000286,Coca-Cola,Coca-Cola 2L,L,2.00
5449000059338,Coca-Cola,Coca-Cola 2x2 L,L,4.00
5449000131843,Coca-Cola,Coca-Cola Zero,L,2.00
5449000201935,Coca-Cola,Coca-Cola Zero Bez Kofeina,L,0.5
5449000195906,Coca-Cola,Coca-Cola Zero Bez Kofeina,L,1.00
5449000139382,Fanta,Fanta Orange Zero,L,0.5
5449000334657,Fanta,Fanta Tutti Frutti Zero,L,0.5
5449000338808,Fanta,Fanta Grape,L,0.5
5449000322180,Fanta,Fanta Orange,L,1.00
5449000270023,Fanta,Fanta Orange Zero,L,2.00
9031100003494,Romerquelle,Voda negazirana Romerquelle Still,L,0.33
9031100003807,Romerquelle,"Voda Romerquelle Limunska Trava 0,5 L",L,0.5
9031100004187,Romerquelle,Voda Romerquelle negazirana,L,1.5
9031100003128,Romerquelle,Romerquelle Gazirana Voda,L,1.5
5449000034335,Glaceau,Voda Smartwater,L,0.6
5449000243089,Glaceau,Voda Smartwater,L,1.1
5060466518070,Burn,Burn Original,L,0.25
5449000239204,Fuzetea,Fuzetea Ledeni Čaj Breskva Hibiskus,L,0.5
5449000239167,Fuzetea,Ledeni čaj šumsko voće,L,0.5
5449000239181,Fuzetea,Ledeni čaj Fuzetea limun limunska trava,L,0.5
5449000239280,Fuzetea,Fuzetea Ledeni Čaj Breskva Hibiskus,L,1.5
5449000239303,Fuzetea,Fuzetea ledeni čaj šumsko voće,L,1.5
5449000239266,Fuzetea,Fuzetea Ledeni Čaj Limun Limunska Trava,L,1.5
5449000269478,Fuzetea,Fuzetea Zero Passionfruit,L,1.5
5449000320988,Powerade,Powerade Golden Mango,L,0.5
5449000158987,Powerade,Powerade Mountain Blast Zero,L,0.5
5449000303615,Schweppes,Schweppes Pink Tonic,L,0.33
5449000220943,Schweppes,Schweppes Tonic Water,L,0.33
5449000064110,Schweppes,Schweppes Bitter Lemon,L,0.33
5449000044808,Schweppes,Schweppes Tonic Water,L,1.00
5449000044839,Schweppes,Schweppes Bitter Lemon,L,1.00
5449000089380,Schweppes,Schweppes Tangerine,L,1.00
5449000325358,Schweppes,Schweppes Botanical Zero Grapefruit Tonic,L,1.00
5449000089496,Schweppes,Schweppes Pink Grapefruit,L,0.5
5449000307347,Schweppes,Schweppes Pink Tonic 1L,L,1.00
5449000064219,Schweppes,Schweppes Tonic Water Slimline Bez Šećera,L,1.00
5449000245236,Schweppes,Schweppes Pink Grapefruit,L,1.00
5449000338419,Schweppes,Schweppes Purple Tonic,L,1.00
5449000334992,Sprite,Sprite Fenix,L,0.5
5449000332707,Sprite,Sprite Zero,L,0.5
5449000050939,Sprite,Sprite,L,1.0
5449000004864,Sprite,Sprite,L,2.0
9002515428349,Pago,Sok Pago Naranča Nektar,L,1.0
5998815124224,Hohes C,Hohes C Sok Antioksidans Crveni Multi 100%,L,1.00
9002515428301,Pago,Sok Pago Ananas,L,1.0
9002515428325,Pago,Sok Pago Jabuka 100%,L,1.00
9002515427199,Pago,Sok Pago Ananas,L,0.2
9002515427212,Pago,Sok Breskva Nektar,L,0.2
9002515427236,Pago,Sok Crni Ribiz,L,0.2
9002515427168,Pago,Sok Pago Jabuka,L,0.2
9002515427175,Pago,Sok Pago Jagoda,L,0.2
9002515427182,Pago,Sok Pago Marelica,L,0.2
9002515427151,Pago,Sok Naranča 100%,L,0.2
9002515427229,Pago,Sok Brusnica,L,0.2
9002515427595,Pago,Sok Pago Naranča Nektar,L,0.2
3850158605056,Maraska,Nektar Jabuka C,L,1.0
3850158605001,Maraska,Maraska Nektar Naranča,L,1.00
3850158800062,Maraska,Maraska Nektar Multivitamin,L,1.00
3850158800109,Maraska,Nektar marelica breskva jabuka,L,1.0
3850158603779,Joy,Sok Joy Kids Zoo Naranča,L,0.2
3850158006129,Maraska,Sok Joy Naranča,L,2.00
3850158006105,Maraska,Joy Jabuka,L,2.00
3850158401801,Maraska,Liker Cherry Brandy Maraska,L,1.0
3850158401504,Maraska,Liker Cherry Brandy Maraska,L,0.7
3850158406752,Maraska,Pelinkovac Maraska,L,1.0
3850158403607,Maraska,Kruškovac,L,1.0
3850158302108,Maraska,Rakija Travarica Maraska,L,1.0
3850158404703,Maraska,Liker Maraschino,L,1.0
3850158406004,Maraska,Orahovac,L,1.0
3850158406660,Maraska,Pelinkovac Zeleni,L,0.7
3850158407001,Maraska,Liker Pelinkovac Zeleni,L,1.0
3850158301705,Maraska,Rakija Šljivovica,L,1.00
3850158201555,Maraska,Room Maraska,L,1.0
3850158201531,Maraska,Room Domaći Maraska,L,0.5
3850158201517,Maraska,Rum Domaći Maraska,L,0.1
3850158400002,Maraska,Liker Amaro Zara,L,1.0
3850158200909,Maraska,Gin The Rebel,L,0.7
3850158201340,Royal Brand,Maraska Royal Brand,L,0.1
3850158409005,Maraska,Vodka Cosmopolitan,L,1.0
3850158202255,Maraska,Medica Maraska,L,1.0
3850158201302,Maraska,Royal Brand,L,1.0
3850158200879,Maraska,Gin Empire,L,1.0
3850158200305,Maraska,Zlatni Brend,L,0.1
3850158405557,Maraska,Orahovac,L,0.1
3850158409104,Maraska,Vodka Cosmopolitan,L,0.1
3850158408220,Maraska,Borovnička Liker,L,1.0
3850158401146,Maraska,Liker Višnjevac,L,0.7
3850158406844,Maraska,Pelinkovac,L,0.7
3850158200923,Maraska,Gin Empire,L,0.1
3850158300708,Maraska,Šljivovica,L,0.1
3850158302054,Maraska,Rakija Travarica,L,0.1
3850158202248,Maraska,Liker Medica,L,0.1
3850158406653,Maraska,Pelinkovac Zeleni,L,0.1
3858894970049,Maraska,Liker Orahovac Madre Badessa,L,0.7
3858894970100,Maraska,Rakija Šljivovica Šizika Madre Badessa,L,0.7
3858894970025,Maraska,Liker Amarena Inamorana Madre Badessa,L,0.7
3858894970063,Maraska,Liker Pelinkovac Madre Badessa,L,0.7
3850158401085,Maraska,Višnjevača Liker,L,1.0
3850158510305,Maraska,Pelinkovac Tonic,L,0.33
3850158600709,Maraska,Sok Maraska Amarena nektar,L,1.00
3850158105020,Maraska,Sirup Maraska Borovnica,L,1.00
3850158105044,Maraska,Sirup jabuka bazga,L,1.00
3850158105082,Maraska,Sirup Ledeni čaj breskva,L,1.00
3850158105129,Maraska,Sirup Limun,L,1.00
3850158105068,Maraska,Sirup Malina,L,1.00
3850158105006,Maraska,Sirup Maraska Naranča,L,1.00
3850108076202,Vindija,Vindi Cocktail Mandarina Naranča,L,0.25
3850108077209,Vindija,Vindi Sok Cocktail Naranča Jabuka,L,0.25
3850108071450,Vindija,Vindi Tonic Zero,L,1.5
3850108071306,Vindija,Vindi A+C+E napitak,L,0.25
3850108073119,Vindija,Uragan energetski napitak,L,0.25
3850108077001,Vindija,Vindi cocktail naranča-jabuka,L,1.00
3850108021936,Z bregov,Caffe Latte,L,0.25
3850108075489,Vindija,Sok Vindi Disney Naranča 100%,L,0.2
3850108075472,Vindija,Vindi Sok Jabuka 100% Disney,L,0.2
3850108078237,Vindija,Vindi Disney Multivitamin Nektar,L,0.2
3850108078220,Vindija,Vindi Disney Naranča Nektar,L,0.2
3850108078183,Vindija,Vindi Nektar Jabuka Disney,L,0.2
3850108078176,Vindija,Vindi Nektar Borovnica Disney,L,0.2
3850108077339,Vindija,Vindi ledeni čaj breskva,L,0.2
3850108077742,Vindija,Vindi Protein Ledeni Čaj Limun Kaktus,L,0.5
3850108077759,Vindija,Ledeni čaj Vindi Protein Breskva,L,0.5
3850108074338,Vindija,Sok Vindi Jabuka Cijeđena 100%,L,1.0
3850108078305,Vindija,Vindi Disney Nektar Breskva,L,0.2
3850108075496,Vindija,Vindi Disney Nektar Jagoda,L,0.2
3850108078190,Vindija,Vindi Disney Nektar Jabuka,L,1.0
3850108071290,Vindija,Vindi A+C+E,L,1.00
3850108078466,Vindija,Iso Sport limun grejp,L,1.0
3850108078244,Vindija,Vindi Disney Nektar Borovnica,L,1.0
3850108075380,Vindija,Vindi Sok Ananas 100%,L,1.00
3850108077056,Vindija,Vindi Cocktail Crveno Voće,L,1.0
3850108077070,Vindija,Vindi Cocktail Crveno Voće,L,0.25
3850108071351,Vindija,Vindi Nektar Naranča,L,1.0
3850108074376,Vindija,Vindi Nektar Borovnica,L,1.00
3850108079524,Vindija,Vindi Nektar Breskva,L,1.0
3850108078756,Vindija,Vindi Nektar Jabuka,L,1.00
3850108078664,Vindija,Vindi Sok Hrvatska Jabuka 100%,L,1.0
3850108076004,Vindija,Vindi Cocktail Mandarina Naranča,L,1.00
3850108079029,Vindija,Vindi Nektar Marelica,L,1.0
3850108075397,Vindija,Vindi Sok Naranča 100%,L,1.00
3850108074475,Vindija,Vindi Nektar Višnja,L,1.0
3850108071238,Vindija,Vindi Multivitamin,L,1.00
3850108074949,Vindija,Vindi Juice Rajčica 100%,L,1.0
3850108070842,Vindija,Vindi Tangerina,L,1.5
3850108072778,Vindija,Vindi B+C+E,L,1.0
3850108073089,Vindija,Vindi sok naranča nektarina,L,1.0
3850108076776,Vindija,Vindi Juice Jabuka 100%,L,1.0
3850108071542,Vindija,Vindi Limun Limeta gazirani napitak,L,1.50
3850108071559,Vindi,Vindi Tonic Water,L,1.5
3850108072792,Vindija,Vindi Sok Multi B+C+E,L,2.00
3850108078398,Vindija,Vindi Nektar Naranča,L,2.0
3850108072815,Vindija,Vindi Cocktail Mandarina Naranča,L,2.00
3850108073188,Vindija,Iso Sport Azzurro negazirano piće,L,0.5
3850108073195,Vindija,Iso Sport Azzurro negazirani napitak,L,1.5
3850108078480,Vindija,Iso Sport Mandarina Yuzu,L,0.5
3850108078411,Vindija,Iso Sport Azzurro Gazirani,L,1.5
3850108078404,Vindija,Iso Sport Azzurro Gazirani Sok,L,0.5
3850108071511,Vindija,Sok Vindi Bitter Lemon,L,1.5
3850108071337,Vindija,Vindi ledeni čaj breskva,L,2.00
3850108073379,Vindija,Vindi Sok Multi A+C+E,L,2.00
3850108073164,Vindija,Iso Sport Limun Grejp,L,0.5
3850108073171,Vindija,Iso Sport Limun Grejp,L,1.5
3850108071726,Vindija,Iso Sport Limun Grejp Gazirani,L,1.5
3850108072310,Vindija,Sok Vindi ACE,L,1.5
3850108078749,Vindija,Vindi nektar jabuka,L,2.00
3850108071665,Vindija,Iso Sport Limun Grejp Gazirani,L,0.5
3850108079555,Vindija,Vindi Nektar Breskva,L,2.00
3850108072839,Vindija,Sok Fis Jabuka,L,2.0
3850108072846,Vindija,Fis Naranča Sok,L,2.0
3850108071849,Vindija,Iso Sport Naranča Limun,L,1.5
3850108078473,Vindija,Iso Sport naranča limun,L,0.5
3850108073355,Vindija,Ledeni čaj breskva Vindi,L,0.5
3850108072785,Vindija,Sok Multi B+C+E,L,0.25
3850108078688,Vindija,Vindi Nektar Ananas,L,1.00
3850108079258,Vindija,Vindi Sok Marelica,L,0.2
3850108074574,Vindija,Vindi Višnja,L,0.2
3850108073065,Vindija,Vindi sok jabuka-kruška,L,2.0
3850108073072,Vindija,Vindi Naranča-Nektarina,L,2.00
3850108011067,Z bregov,"Svježe mlijeko 1,5% m.m.",L,1.00
3850108011814,Z bregov,"Svježe mlijeko 3,2%",L,1.0
3850108011760,Z bregov,"Svježe mlijeko 3,2%",L,1.75
3850108011845,Z bregov,"Svježe mlijeko 3,2%",L,1.00
3850108011852,Z bregov,"Svježe mlijeko 1,5%",L,1.0
3850108026009,Z bregov,Kozje mlijeko,L,0.2
3850108020601,Z bregov,"Mlijeko trajno 2,8%",L,0.2
3850108011517,Z bregov,"Svježe mlijeko 3,2% mm",L,1.0
3850108026603,Z bregov,"Mlijeko kozje 2,8% mm",L,0.5
3850108026108,Z bregov,"Mlijeko kozje trajno 2,8%mm",L,1.00
3850108023589,Z bregov,"Mlijeko bez laktoze 2,8% UHT",L,0.2
3850108020557,Z bregov,"Mlijeko trajno 2,8% mm",L,0.5
3850108022940,Z bregov,Mlijeko bijela čokolada Disney,L,0.2
3850108022988,Z bregov,Čokoladno mlijeko Disney,L,1.00
3850108021295,Z bregov,"Mlijeko UHT 2,8% + Vitamin D",L,1.00
3850108021592,Z bregov,"Mlijeko trajno 0,9% m.m.",L,1.00
3850108020908,Z bregov,"Mlijeko trajno 2,8% m.m.",L,1.00
3850108020762,Z bregov,"Mlijeko trajno 3,5% m.m.",L,1.0
3850108021264,Z bregov,"Mlijeko trajno 0,9% mm s kalcijem",L,2.00
3850108037531,Z bregov,"Kefir 3,5% mm",kg,1.000
3850108020656,Z bregov,"Mlijeko trajno 2,8% mm",L,2.00
3850108032642,Z bregov,Jogurt Fortia Natur,kg,1.000
3850108032673,Vindija,Jogurt Fortia borovnica bazga,kg,0.33
3850108032697,Z bregov,Jogurt Fortia Natur,g,330
3850108058215,Vindija,Gouda sir rezani,kg,0.15
3850108055412,Vindija,Sir Varaždinec,kg,0.150
3850108053913,Vindija,Sir Tilzit rezani,kg,0.15
3850108057744,Vindija,Sir Dimek,kg,0.150
3850108054026,Vindija,Sir Grabancijaš meki,kg,0.350
3850108036411,Z bregov,Kiselo vrhnje 25% mm,kg,0.9
3850108030488,Z bregov,"Kefir 3,5% m.m.",kg,1.000
3850108023572,Z bregov,"Mlijeko trajno bez laktoze 2,8%",L,1.00
3850108030242,Vindija,Vilikis Jogurt Grčki Tip Natur,kg,0.15
3850108030594,Z bregov,Jogurt Vilikis grčki tip voćni mix,kg,0.15
3850108037562,Z bregov,"Kefir 3,5% m.m.",kg,0.330
3850108036473,Z bregov,Kiselo vrhnje 12% mm,kg,0.9
3850108022971,Z bregov,Mlijeko čokoladno Disney,L,0.20
3850108023350,Z bregov,Mlijeko čokoladno,L,0.5
3850108020892,Z bregov,Trajno mlijeko 1% m.m.,L,1.00
3850108023701,Z bregov,Proteinski napitak vanilija,L,0.5
3850108023718,Z bregov,Proteinski napitak čokolada-banana,L,0.5
3850108023725,Vindija,Proteinski napitak jagoda,L,0.5
3850108023794,Z bregov,Proteinski napitak pistacija,L,0.5
3850108023732,Z bregov,Proteinski napitak bijela čokolada-malina,L,0.5
3850108023633,Z bregov,Proteinski napitak nougat,L,0.5
3850108032635,Z bregov,Jogurt Protein Skyr Bourbon Vanilija,g,200.0
3850108033571,Z bregov,Vrhnje za kuhanje,L,0.5
3850108033588,Z bregov,Vrhnje za kuhanje,L,0.200
3850108023657,Z bregov,Proteinski napitak kokos,L,0.5
3850108023664,Z bregov,Proteinski napitak čokolada,L,0.5
3850108023671,Z bregov,Proteinski napitak keks,L,0.5
3850108023688,Z bregov,Proteinski napitak čokolada kikiriki,L,0.5
3850108040906,Z bregov,Puding Protein Vanilija,g,180.000
3850108040913,Z bregov,Puding Protein Čokolada,g,180.0
3850108040920,Z bregov,Puding Protein Kokos-Badem,g,180.0
3850108036480,Z bregov,Vrhnje kiselo domaće za svježi sir 25% mm,kg,0.300
3850108030518,Z bregov,"Kefir 3,5% mm",kg,0.400
3850108031683,Z bregov,"Kiselo mlijeko 3,2% m.m.",kg,0.400
3850108040937,Z bregov,Puding Protein Vanilija Duopack,kg,0.36
3850108040944,Z bregov,Proteinski puding čokolada duo,kg,0.36
3850108032284,Z bregov,"Acidofilno mlijeko 3,2%mm",kg,0.400
3850108058949,Vindija,Vivis Svježi Krem Sir Čili,kg,0.1
3850108058956,Vindija,Vivis Svježi Krem Sir Light,g,100
3850108037289,Z bregov,"Jogurt čvrsti 3,2% m.m.",g,180.0
3850108040890,Z bregov,Puding Protein Karamela,g,180.0
3850108058734,Vindija,Svježi krem sir Vivis,kg,0.1
3850108058932,Vindija,Svježi krem sir Vivis vlasac,kg,0.1
3850108058925,Vindija,Vivis svježi krem sir šunka,kg,0.1
3850108023787,Z bregov,Proteinski napitak čokolada Polleo,L,0.5
3850108023770,Z bregov,Proteinski napitak vanilija,L,0.5
3850108058482,Vivis,Svježi krem sir,g,200
3850108058444,Vindija,Vivis svježi krem sir,g,20.0
3850108058468,Vindija,Vivis Svježi Krem Sir,g,50
3850108033663,Z bregov,Vrhnje za šlag 36% mm,L,0.5
3850108040500,Vindija,Puding Choco Loco 4x125 g,kg,0.5
3850108058772,Vindija,Vivis krem sir povrće,kg,0.200
3850108033816,Z bregov,Vrhnje za šlag 36% mm,L,0.2
3850108030297,Z bregov,"Jogurt tekući 2,8% m.m.",kg,1.000
3850108040081,Vindija,Fino mi je Puding Vanilija sa Šlagom 4x125 g,kg,0.5
3850108031812,Z bregov,"Kiselo mlijeko čvrsto 3,2%",kg,0.9
3850108033489,Z bregov,Vrhnje za kuhanje bez laktoze,L,0.2
